title,job_category,job_family,uw_job_codes_2017,uw_ees_2017,uw_market_50th_tcc_2017,uw_job_codes_2019,uw_ees_2019,uw_market_50th_tcc_2019
Executive Assistant,Manager/Strategic Advisor,M,"1157, 1257, 1314,
1944, 9557, 9587,
9517, 9807, 9817,
9627, 1337, 9553,
1927, 1387, 1177, 9513",213,-16.5%,"11157, 11257, 11314, 11337, 11387, 11944, 19557, 19587, 19553, 11177, 19517, 19807, 19817, 11927, 19513, 19627",213,-15.8%
Financial Analyst/Decision Support,Health Care,H,1184,21,-1.6%,11184,11,-1.5%
Food Service Assistant Manager,Manager/Strategic Advisor,M,1506,10,-6.1%,11506,11,-12.5%
Food Service Manager,Manager/Strategic Advisor,M,1508,17,-4.3%,11508,24,5.7%
Grants and Contracts Program Manager/Specialist,Manager/Strategic Advisor,M,1775,20,-3.1%,11775,31,2.7%
Graphic Designer,Public Information/Communications,P,1697,28,-12.2%,11697,32,-5.8%
Human Resources Consultant – Employee Relations,Manager/Strategic Advisor,M,1089,21,-4.2%,11089,23,-8.4%
Major Gifts Officer,Development,D,1554,54,-10.3%,11554,53,-10.4%
Mental Health Therapist,Counseling/Student Services,C,1308,10,11.9%,11308,15,3.5%
Network Engineer,Information Technology,T,1564,27,21.1%,11564,25,18.2%
Nurse Manager,Health Care,H,1580,57,17.1%,11580,51,4.0%
Principal Research Scientist/Research Engineer,Research,R,1497,79,-6.2%,11497,84,-20.7%
Principal Technology Program Manager – Enterprise-Wide Systems,Information Technology,T,1741,22,2.3%,11741,17,7.6%
Program Director/Manager (Large Program),Manager/Strategic Advisor,M,"1110, 1130, 1150, 1510",220,20.8%,"11110, 11130, 11150, 11510",206,5.5%
Program Director/Manager (Small Program),Manager/Strategic Advisor,M,"1108, 1128, 1148,
1508, 1528",45,1.2%,"11108, 11128, 11148, 11508, 11528",141,-1.5%
Public Information Specialist (Entry Level),Public Information/Communications,P,9735,3,-5.6%,19735,4,-0.8%
Public Information Specialist (Journey Level),Public Information/Communications,P,"1537, 9737",81,-3.0%,"11537, 19737",80,-6.8%
Public Information Specialist (Senior Level),Public Information/Communications,P,"1538, 9738",86,-1.7%,"11538, 19738",91,-10.9%
Publications Coordinator,Public Information/Communications,P,"1672, 9777",12,-11.5%,"11672, 19777",17,-2.1%
Research Consultant,Research,R,9696,75,-22.4%,19696,10,-8.8%
Research Coordinator,Research,R,1758,137,12.1%,11758,147,11.0%
Research Scientist/Research Engineer,Research,R,1495,291,-17.7%,1495,316,-22.0%
Senior Applications Systems Engineer – Enterprise-Wide Systems,Information Technology,T,1730,75,-1.9%,11730,62,-1.1%
Senior Computer Specialist,Information Technology,T,1568,311,-15.2%,11568,325,-15.8%
Software Engineer,Information Technology,T,"1490, 1560",98,13.0%,"11490, 11560",85,12.2%
Student or Academic Services Director,Counseling/Student Services,C,1361,41,-12.8%,11361,53,-15.8%
Student Services Advisor/Counselor,Counseling/Student Services,C,"1341, 9596",21,-1.7%,"11341, 19596",30,-3.8%
Student Services Advisor/Counselor (Lead),Counseling/Student Services,C,1343,22,-3.5%,11343,19,2.1%
Student Services Advisor/Counselor (Senior),Counseling/Student Services,C,"1342, 9597",30,-2.2%,"11342, 19597",34,-3.1%
Systems Programmer,Information Technology,T,1572,21,-8.9%,11572,15,-7.4%
Technology Program Manager – Enterprise-Wide Systems,Information Technology,T,1739,4,-16.2%,11739,4,-25.7%
Technology Project Manager,Information Technology,T,1680,39,3.3%,11680,48,2.3%
Web Computing Specialist,Information Technology,T,1743,31,-1.0%,11743,37,2.9%
Web Content Specialist,Public Information/Communications,P,"1687, 9687",26,-11.0%,"11687, 19687",26,-4.2%
Pharmacy Manager,Health Care,H,,,,11590,12,-6.1%
